,AC,Reserved,General,Female,Male
1702,6_S17A6P61_parsed.csv,17,107,64,60
1703,11_S17A11P13_parsed.csv,103,541,322,322
1704,18_S17A18P17_parsed.csv,91,523,311,300
1705,15_S17A15P20_parsed.csv,96,545,334,302
1706,26_S17A26P5_parsed.csv,156,480,328,299
1707,52_S17A52P14_parsed.csv,249,653,404,493
1708,7_S17A7P28_parsed.csv,172,648,387,421
1709,5_S17A5P52_parsed.csv,74,375,207,239
1710,59_S17A59P2_parsed.csv,160,518,328,343
1711,55_S17A55P2_parsed.csv,161,699,398,454
1712,3_S17A3P31_parsed.csv,77,308,177,204
1713,50_S17A50P46_parsed.csv,133,194,157,163
1714,28_S17A28P5_parsed.csv,124,451,301,270
1715,40_S17A40P27_parsed.csv,31,77,45,63
1716,19_S17A19P33_parsed.csv,75,412,238,245
1717,46_S17A46P17_parsed.csv,175,347,246,264
1718,59_S17A59P8_parsed.csv,87,356,230,208
1719,8_S17A8P9_parsed.csv,60,329,201,185
1720,11_S17A11P17_parsed.csv,150,648,429,369
1721,8_S17A8P4_parsed.csv,175,787,474,481
1722,25_S17A25P6_parsed.csv,136,551,324,356
1723,40_S17A40P71_parsed.csv,3,32,17,18
1724,44_S17A44P24_parsed.csv,143,373,241,268
1725,60_S17A60P17_parsed.csv,118,356,233,235
1726,6_S17A6P24_parsed.csv,337,504,408,428
1727,19_S17A19P32_parsed.csv,58,383,210,230
1728,6_S17A6P45_parsed.csv,174,382,263,284
1729,49_S17A49P46_parsed.csv,66,116,83,99
1730,31_S17A31P1_parsed.csv,33,257,131,157
1731,30_S17A30P23_parsed.csv,92,218,157,153
1732,58_S17A58P14_parsed.csv,85,135,105,112
1733,13_S17A13P27_parsed.csv,47,353,189,201
1734,6_S17A6P59_parsed.csv,379,609,474,504
1735,38_S17A38P48_parsed.csv,109,175,133,150
1736,5_S17A5P2_parsed.csv,14,141,75,80
1737,60_S17A60P2_parsed.csv,164,478,319,313
1738,30_S17A30P19_parsed.csv,102,339,230,209
1739,38_S17A38P8_parsed.csv,200,314,281,232
1740,40_S17A40P35_parsed.csv,57,163,114,105
1741,5_S17A5P28_parsed.csv,98,469,291,272
1742,3_S17A3P11_parsed.csv,69,271,172,157
1743,51_S17A51P19_parsed.csv,45,68,55,57
1744,4_S17A4P8_parsed.csv,63,437,239,261
1745,57_S17A57P30_parsed.csv,237,621,418,435
1746,24_S17A24P7_parsed.csv,126,433,244,311
1747,20_S17A20P43_parsed.csv,50,285,165,169
1748,20_S17A20P12_parsed.csv,143,641,375,400
1749,4_S17A4P3_parsed.csv,39,275,152,162
1750,18_S17A18P5_parsed.csv,99,520,312,299
1751,11_S17A11P7_parsed.csv,58,363,225,191
1752,20_S17A20P50_parsed.csv,88,245,174,156
1753,3_S17A3P44_parsed.csv,35,152,92,92
1754,39_S17A39P25_parsed.csv,170,280,233,214
